"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-01",,,"70","58"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-02",,,"73","59"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-03",,,"65","56"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-04",,,"68","54"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-05",,,"75","51"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-06",,,"68","57"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-07",,,"62","54"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-08",,,"60","57"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-09",,,"74","56"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-10",,,"79","52"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-11",,,"77","56"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-12",,,"79","60"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-13",,,"79","64"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-14",,,"79","57"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-15",,,"81","49"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-16",,,"81","60"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-17",,,"76","62"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-18",,,"77","64"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-19",,,"87","61"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-20",,,"89","64"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-21",,,"89","67"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-22",,,"86","67"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-23",,,"90","64"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-24",,,"90","66"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-25",,,"91","69"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-26",,,"84","64"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-27",,,"85","58"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-28",,,"85","61"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-29",,,"82","66"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-06-30",,,"84","70"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-07-01",,,"86","69"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-07-02",,,"92","64"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-07-03",,,"84","64"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-07-04",,,"76","62"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-07-05",,,"76","52"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-07-06",,,"81","51"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-07-07",,,"86","56"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-07-08",,,"88","61"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-07-09",,,"77","56"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-07-10",,,"79","53"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-07-11",,,"84","54"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-07-12",,,"87","59"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-07-13",,,"90","62"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-07-14",,,"93","65"
"USW00053855","HAMILTON BUTLER CO REGIONAL AIRPORT, OH US","1997-07-15",,,"88","67"
