"Rank","Y1","Y2","Y4","Y5","Y10","Y15","Y20","Y25","Y29","Y35","Y39"
1,0.169797000,0.393378000,0.320427000,0.107987000,0.166228000,0.151129000,0.182097000,0.261452000,0.271721000,0.261496000,0.281056000
2,0.149017000,0.130685000,0.316407000,0.101134000,0.118284000,0.088804000,0.124287000,0.121037000,0.141374000,0.166613000,0.129801000
3,0.090504000,0.106597000,0.066507000,0.099065000,0.102756000,0.082501000,0.104210000,0.119424000,0.140221000,0.124149000,0.123889000
4,0.073552000,0.100484000,0.058568000,0.097444000,0.075668000,0.065619000,0.082653000,0.084716000,0.109264000,0.084737000,0.091942000
5,0.069204000,0.048359000,0.039090000,0.067592000,0.063599000,0.060759000,0.066100000,0.077015000,0.107005000,0.077339000,0.064553000
6,0.068165000,0.042295000,0.031185000,0.059568000,0.058754000,0.060323000,0.057811000,0.048810000,0.032573000,0.064589000,0.058148000
7,0.062341000,0.034547000,0.019377000,0.048244000,0.041331000,0.056226000,0.053810000,0.035327000,0.021026000,0.062879000,0.053882000
8,0.037022000,0.032911000,0.019293000,0.045296000,0.036626000,0.035001000,0.042537000,0.024623000,0.019998000,0.018460000,0.025093000
9,0.033112000,0.028450000,0.018519000,0.038950000,0.023832000,0.030808000,0.035251000,0.023548000,0.014688000,0.011532000,0.016505000
10,0.025374000,0.015910000,0.018200000,0.029286000,0.023540000,0.029556000,0.034862000,0.021001000,0.013445000,0.010627000,0.014646000
11,0.023351000,0.014506000,0.017644000,0.027587000,0.022382000,0.023307000,0.030009000,0.017795000,0.011886000,0.010616000,0.013459000
12,0.019140000,0.011582000,0.011623000,0.025401000,0.021365000,0.023253000,0.022861000,0.015218000,0.010530000,0.010113000,0.013291000
13,0.016761000,0.007385000,0.010109000,0.023819000,0.019725000,0.023144000,0.020817000,0.012398000,0.010180000,0.008638000,0.011354000
14,0.015585000,0.005419000,0.008444000,0.022101000,0.017575000,0.021265000,0.012540000,0.012205000,0.009615000,0.008381000,0.009809000
15,0.014492000,0.004163000,0.004222000,0.021281000,0.015846000,0.019836000,0.011299000,0.011089000,0.009603000,0.007833000,0.009294000
