logA,logAp,flower_p,surv
1.977723605,1.84509804,0,1
1.477121255,1.653212514,0,1
1.903089987,2.255272505,0,1
1.77815125,2,0,1
2.041392685,1.698970004,0,1
1.84509804,1.84509804,0,1
1.477121255,1.602059991,0,1
2.255272505,2.079181246,0,1
2.204119983,2.217483944,0,1
1.653212514,1.812913357,0,1
1.875061263,1.602059991,0,1
1.929418926,NA,0,0
1.602059991,2.079181246,0,1
1.954242509,1.653212514,0,1
1.397940009,1.176091259,0,1
1.77815125,1.698970004,0,1
1.77815125,1.397940009,0,1
2.653212514,2.531478917,0,1
1.698970004,1.477121255,0,1
2.431363764,2.462397998,1,1
2.096910013,2.217483944,0,1
1.929418926,NA,0,0
2.352182518,2.079181246,0,1
2.225309282,2.176091259,0,1
1.477121255,1.84509804,0,1
1.812913357,1.698970004,0,1
1.740362689,NA,0,0
1.903089987,2.079181246,0,1
1.653212514,1.812913357,0,1
1.602059991,1.544068044,0,1
1.954242509,2.190331698,0,1
1.698970004,2,0,1
2.311753861,2.146128036,0,1
1.84509804,2.414973348,0,1
1.698970004,1.84509804,0,1
2.505149978,1.929418926,0,1
1.544068044,1.477121255,0,1
2.041392685,2.096910013,0,1
2.130333768,2.113943352,0,1
2.096910013,2.681241237,0,1
2.079181246,1.653212514,0,1
1.698970004,1.77815125,0,1
2.267171728,2.397940009,0,1
2,2.230448921,0,1
1.77815125,1.77815125,0,1
1.84509804,1.77815125,0,1
1.77815125,2.146128036,0,1
1.929418926,1.653212514,0,1
1.875061263,NA,0,0
1.602059991,NA,0,0
1.812913357,1.903089987,0,1
1.84509804,1.954242509,0,1
1.653212514,1.477121255,0,1
2.238046103,2.556302501,0,1
1.698970004,2,0,1
1.929418926,2.255272505,0,1
2.322219295,2.204119983,1,1
2.113943352,1.602059991,0,1
2.176091259,2.322219295,0,1
1.698970004,NA,0,0
2.021189299,2.041392685,0,1
1.477121255,1.84509804,0,1
2.130333768,2.544068044,0,1
2.301029996,2.267171728,1,1
2.380211242,2.255272505,1,1
2.079181246,1.653212514,0,1
1.954242509,1.929418926,0,1
1.602059991,NA,0,0
1.84509804,2.51851394,0,1
1.77815125,1.84509804,0,1
2.130333768,2.079181246,0,1
2.301029996,1.602059991,1,1
2.146128036,2.176091259,0,1
2.204119983,2.51851394,0,1
2.079181246,1.77815125,0,1
1.77815125,NA,0,0
1.954242509,1.77815125,1,1
1.954242509,2.301029996,0,1
2.041392685,2.041392685,0,1
1.681241237,1.84509804,0,1
2.079181246,2.176091259,0,1
1.84509804,2.096910013,0,1
1.84509804,2.255272505,0,1
1.77815125,2.079181246,0,1
1.698970004,1.477121255,0,1
1.544068044,1.397940009,0,1
1.698970004,1.954242509,0,1
1.903089987,2.146128036,0,1
2,1.903089987,0,1
2.146128036,2.255272505,0,1
1.84509804,NA,0,0
2,2,0,1
2.255272505,2.176091259,1,1
1.698970004,1.77815125,0,1
2.204119983,2.255272505,1,1
2.021189299,1.977723605,0,1
2.278753601,1.954242509,0,1
2.113943352,1.977723605,0,1
1.84509804,2.505149978,0,1
2.021189299,NA,0,0
1,NA,NA,0
1,NA,NA,1
1,NA,NA,0
1,NA,NA,0
1,NA,NA,1
0.698970004,NA,NA,0
1,NA,NA,0
1,NA,NA,0
1,NA,NA,1
1,NA,NA,0
0.698970004,NA,NA,0
0.698970004,NA,NA,1
1,NA,NA,1
1,NA,NA,0
1,NA,NA,1
1,NA,NA,1
1,NA,NA,0
1,NA,NA,0
0.698970004,NA,NA,1
1,NA,NA,0
1,NA,NA,0
1,NA,NA,0
1,NA,NA,0
1,NA,NA,0
0.698970004,NA,NA,0
0.698970004,NA,NA,0
0.698970004,NA,NA,0
1,NA,NA,0
1,NA,NA,1
0.698970004,NA,NA,1
0.698970004,NA,NA,0
0.698970004,NA,NA,1
0.698970004,NA,NA,1
1,NA,NA,0
1,NA,NA,0
1,NA,NA,1
