Site,Year,id,area,seeds
GrassyHill PowerLine,2015,1074,60,85
GrassyHill PowerLine,2015,1076,30,133
GrassyHill PowerLine,2015,1084,240,223
GrassyHill PowerLine,2015,138,105,135
GrassyHill PowerLine,2015,101,40,126
GrassyHill PowerLine,2015,835,150,83
GrassyHill PowerLine,2015,486,100,178
GrassyHill PowerLine,2015,1218,110,78
GrassyHill PowerLine,2015,1225,520,236
GrassyHill PowerLine,2015,1204,80,104
Den Hill E,2016,21,310,142
Den Hill C,2016,433,400,128
Den Hill C,2016,445,185,40
Den Hill D,2016,601,180,72
Den Hill D,2016,622,240,23
Den Hill D,2016,650,250,144
Den Hill C,2016,678,280,9
Den Hill D,2016,1302,250,155
Den Hill C,2016,1464,60,19
